Sample_ID,LNRR,Response_Group,OPR,NaHCO3_P,DOC,OPR_FeP,FeII,NH4_NO3_Ratio,log_nosZ_norB_Ratio
MH,0.4202895398187155,Promoted,207.6,0.1079882170990639,0.6481822061147052,-0.0211374606827553,11.141632992,0.6156797221647323,-0.2655940651058943
HZ,0.3583278183816975,Promoted,258.8,0.0993724831524843,0.2156152442009,-0.2719321430209338,3.975554352000001,1.338676650816994,-0.1978477930230133
HK,-0.1419516945771779,Suppressed,276.0,0.1058924932201958,0.2871817838891722,1.377290893792615,6.205001040000001,0.6749114819912709,0.3038316418403178
GL,-0.2025888701428038,Suppressed,260.6,0.0428191301247771,0.3658912225982966,2.985694695821853,2.094932656,2.58906466084378,0.3677269485875676
YC2,1.465845426698962,Promoted,217.2,0.0015373339229151,0.351454932680915,-0.1322399330124593,18.770283904,4.5289804613291,-0.0514050549467898
LY,0.1143926935113369,Promoted,185.6,0.0620297308468711,0.2674984612486834,0.3214108551039406,2.509921776,2.905983479264444,0.0257536381219747
YT1,-0.7990489233152508,Suppressed,143.2,0.00660570277996,0.1939821162918422,0.990100438243366,13.439328048,4.214527997065537,0.3474519945523968
CQ,0.2893026307413875,Promoted,215.2,0.0285977144049554,0.2527764763134664,-0.0866539608802862,2.671252208,0.5002545940745888,0.1546198358448359
SY,1.769516855120657,Promoted,283.6,0.0283349058999253,0.215056455340735,-0.2723861648562719,0.04212564,0.2096944222677571,-0.0106383041190238
TZ,0.10905446783198,Promoted,329.0,0.1581885915601268,0.6278058184297587,0.9368850475542592,3.70256088,0.1040878314886475,-0.1939320564120318
SH1,0.8320293321051008,Promoted,206.2,0.0427963445906968,0.2397991340110164,-0.014823421259034,2.398258736,1.163498532861335,-0.1187963800115834
XN,-0.0250418793576072,Suppressed,149.0,0.0491186869251845,0.0043380896107613,0.8059460213730418,25.16288104,3.585402085514495,0.1544916843185839
CF,-0.1720061397216955,Suppressed,95.8,0.0298148023341205,0.2665850048760398,1.717195355325101,4.021053264,0.4083566083377658,-0.0108504292510522
ATS,0.0271017655396455,Promoted,145.0,0.0012465680258565,0.203020965351514,0.9963426027267128,23.123013152,2.590711235711701,0.0499004588860667
YT2,0.025236698125757,Promoted,257.6,0.0376303573969047,0.5681391960095082,0.3949870878376207,1.42761528,0.4552070394728242,0.1710999771548593
JC,0.7458502465524116,Promoted,216.4,0.0179672303594532,0.1986176649767952,-0.1248546269623993,10.663894416,2.437678547451765,0.1067622570104926
XY,-0.1770002440267771,Suppressed,154.6,0.0027039865190929,0.2997852684793338,0.8362808873482873,24.32873432,2.724167963529601,0.374987728170329
WH,0.658000638063182,Promoted,177.0,0.0046697072598264,0.3495677614771502,0.3451339462264128,29.401863008,6.655837163244277,-0.0043083364701241
TH1,0.3513868676072651,Promoted,200.4,0.1119580984402994,0.4567514433756895,-0.2302778526652807,7.319724384,1.461571046008492,-0.607414483558815
YC1,0.0699691148390087,Promoted,113.6,0.0520533205448424,0.209664862445814,1.371145085098504,3.0645499936,2.298788208150346,0.2136874513018268
XC,1.249903840618026,Promoted,175.4,0.0039405266808152,0.2210636910165452,0.4796072094869783,8.836354784,2.702319462068776,-0.1401305547352944
LS2,0.5405168591463604,Promoted,215.8,0.0163570501705632,0.2027310697788054,-0.0849826570967045,13.128418816,0.8867933374412241,0.2504334695226248
NJ,0.9280647745066049,Promoted,244.6,0.0468592427184466,0.2070068132880384,0.3136244626013631,7.15289504,0.3996509172540452,0.2467044436057824
BS,0.5226858796343572,Promoted,253.8,0.0453794558550693,0.3844107589312816,0.5808791477002091,13.63649,1.246035249211394,0.1944196987325979
WL,-0.1101422414887724,Suppressed,187.2,0.045936163223617,0.1793745882435934,0.3254937912152135,30.81232928,4.433689645635996,0.2166157014616936
SN,0.5045617639035808,Promoted,173.2,0.083930821199767,0.3184415673587838,0.528798349739376,3.649478816,2.439419794816227,-0.0807297573805701
