N2O排放速率(mg N/kg/d),时间,处理,ID,样本代码,rate,log10_rate_plus_1e4
0.00440104,48 h,TR,8,LS1,0.00440104,-2.346687127540951
0.003312031999999999,48 h,TR,9,DL,0.003312031999999999,-2.4669869044217916
0.003249392,48 h,TR,10,ZY,0.003249392,-2.4750340213242126
0.002424632,48 h,TR,11,BJ,0.002424632,-2.597801917353949
0.000472352,48 h,TR,12,ZQ,0.000472352,-3.2423367952638196
0.0008950560000000001,48 h,TR,13,RL,0.0008950560000000001,-3.0021524772375745
0.000990176,48 h,TR,14,LZ,0.000990176,-2.962503383106612
0.003795752,48 h,TR,15,HF,0.003795752,-2.4094086977019544
0.003077016,48 h,TR,16,AY,0.003077016,-2.497980597985502
0.000729408,48 h,TR,17,MH,0.000729408,-3.0812317799931015
0.003137568,48 h,TR,18,HZ,0.003137568,-2.489781101145555
0.003431744,48 h,TR,19,HK,0.003431744,-2.452010783978023
0.00225388,48 h,TR,20,GL,0.00225388,-2.628215681112897
0.00142332,48 h,TR,21,YC2,0.00142332,-2.8172088559310597
0.00037816,48 h,TR,22,LY,0.00037816,-3.3204267571743746
0.003794128,48 h,TR,23,YT1,0.003794128,-2.4095897773203383
0.003049408,48 h,TR,24,CQ,0.003049408,-2.501771073669375
0.1002414,48 h,TR,25,SY,0.1002414,-0.9985198438301625
0.112365256,48 h,TR,26,TZ,0.112365256,-0.9489816238458509
0.220062672,48 h,TR,27,SH1,0.220062672,-0.6572563126060389
0.004335616,48 h,TR,28,XN,0.004335616,-2.353046058622879
0.003747496,48 h,TR,29,CF,0.003747496,-2.4148218230049516
0.002978416,48 h,TR,30,ATS,0.002978416,-2.51167269240032
0.24556852,48 h,TR,31,YT2,0.24556852,-0.6096504905129704
0.013937632,48 h,TR,32,JC,0.013937632,-1.8527061469119939
0.005944768,48 h,TR,33,XY,0.005944768,-2.2186203628351873
0.006474656,48 h,TR,34,WH,0.006474656,-2.1821269654557103
0.016544384,48 h,TR,35,TH1,0.016544384,-1.778732273222921
0.004549288,48 h,TR,36,YC1,0.004549288,-2.3326135506255237
0.89617656,48 h,TR,37,XC,0.89617656,-0.04755796137655374
0.101310688,48 h,TR,38,LS2,0.101310688,-0.9939162708921302
0.014917368,48 h,TR,39,NJ,0.014917368,-1.8234061767352638
1.084715536,48 h,TR,40,BS,1.084715536,0.03535589624160558
0.027491536,48 h,TR,41,WL,0.027491536,-1.559224122001567
0.010801148,48 h,TR,42,SN,0.010801148,-1.962527764094964
0.0150278,72 h,CK,1,YY,0.0150278,-1.820224225799092
0.004237712,72 h,CK,2,BB,0.004237712,-2.362739286107648
0.00264364,72 h,CK,3,SQ,0.00264364,-2.5616728741133605
0.004272744,72 h,CK,4,CY,0.004272744,-2.35924594745317
0.004555552000000001,72 h,CK,5,WZ,0.004555552000000001,-2.332028818153906
0.004740223999999999,72 h,CK,6,SH2,0.004740223999999999,-2.3151345392413596
0.005297952,72 h,CK,7,WF,0.005297952,-2.267770981622373
0.002824368,72 h,CK,8,LS1,0.002824368,-2.5339679770243384
0.0009662799999999999,72 h,CK,9,DL,0.0009662799999999999,-2.972128736690849
0.00099876,72 h,CK,10,ZY,0.00099876,-2.9590971593128876
0.002274064,72 h,CK,11,BJ,0.002274064,-2.6245075775161406
0.001905184,72 h,CK,12,ZQ,0.001905184,-2.697845769418765
0.003394856,72 h,CK,13,RL,0.003394856,-2.4565707139651596
0.003335232,72 h,CK,14,LZ,0.003335232,-2.464043927332986
0.001304072,72 h,CK,15,HF,0.001304072,-2.8526106212653657
0.00177712,72 h,CK,16,AY,0.00177712,-2.726507963035561
0.018027792,72 h,CK,17,MH,0.018027792,-1.7416550905880521
0.006336384,72 h,CK,18,HZ,0.006336384,-2.191358053431591
0.001341656,72 h,CK,19,HK,0.001341656,-2.841138356207808
0.001566,72 h,CK,20,GL,0.001566,-2.7783250029292312
0.000210888,72 h,CK,21,YC2,0.000210888,-3.507396041013617
0.001873864,72 h,CK,22,LY,0.001873864,-2.7046827736948824
0.000877424,72 h,CK,23,YT1,0.000877424,-3.009917001363097
0.000877656,72 h,CK,24,CQ,0.000877656,-3.009813930061386
0.006301352,72 h,CK,25,SY,0.006301352,-2.193728290995981
0.03648664,72 h,CK,26,TZ,0.03648664,-1.4366774728982687
0.025252272,72 h,CK,27,SH1,0.025252272,-1.595983114324801
0.003183736,72 h,CK,28,XN,0.003183736,-2.483631765788883
0.002861024,72 h,CK,29,CF,0.002861024,-2.5285580725075856
0.004867592,72 h,CK,30,ATS,0.004867592,-2.3038540809927124
0.061118776,72 h,CK,31,YT2,0.061118776,-1.213115357877527
0.00710848,72 h,CK,32,JC,0.00710848,-2.1421563021607053
0.006725912,72 h,CK,33,XY,0.006725912,-2.165839314967541
0.007369016000000001,72 h,CK,34,WH,0.007369016000000001,-2.1267366102219682
0.016026328,72 h,CK,35,TH1,0.016026328,-1.7924645111532234
0.005036951999999999,72 h,CK,36,YC1,0.005036951999999999,-2.2892944923314396
0.02544112,72 h,CK,37,XC,0.02544112,-1.5927600624698302
0.014066856,72 h,CK,38,LS2,0.014066856,-1.8487265204901193
0.00762468,72 h,CK,39,NJ,0.00762468,-2.112119502467881
0.41320128,72 h,CK,40,BS,0.41320128,-0.38373324969996125
0.018045424,72 h,CK,41,WL,0.018045424,-1.7412328792843714
0.005518548,72 h,CK,42,SN,0.005518548,-2.250375904548917
0.020894384,72 h,TR,1,YY,0.020894384,-1.67789686355167
0.0241164,72 h,TR,2,BB,0.0241164,-1.6158904184324696
0.002807896,72 h,TR,3,SQ,0.002807896,-2.536421129942915
0.00488244,72 h,TR,4,CY,0.00488244,-2.302557922497181
0.00433956,72 h,TR,5,WZ,0.00433956,-2.3526600702099443
0.003682768,72 h,TR,6,SH2,0.003682768,-2.422190293496965
0.003218304,72 h,TR,7,WF,0.003218304,-2.479083829440446
0.002684472,72 h,TR,8,LS1,0.002684472,-2.5552571449161268
0.001568784,72 h,TR,9,DL,0.001568784,-2.7775998728347435
0.001147008,72 h,TR,10,ZY,0.001147008,-2.904130760358899
0.002159688,72 h,TR,11,BJ,0.002159688,-2.6459515206899016
0.001388752,72 h,TR,12,ZQ,0.001388752,-2.827177642074486
0.002924592,72 h,TR,13,RL,0.002924592,-2.519333200879009
0.00289072,72 h,TR,14,LZ,0.00289072,-2.5242242449917995
0.002359208,72 h,TR,15,HF,0.002359208,-2.6092047370474027
0.001447448,72 h,TR,16,AY,0.001447448,-2.8103839359702008
0.023332704,72 h,TR,17,MH,0.023332704,-1.6301775934123908
0.008322768,72 h,TR,18,HZ,0.008322768,-2.0745451615199575
0.001623072,72 h,TR,19,HK,0.001623072,-2.7636965748158233
0.001074624,72 h,TR,20,GL,0.001074624,-2.9301011298670763
0.00143956,72 h,TR,21,YC2,0.00143956,-2.812603381030906
0.001797072,72 h,TR,22,LY,0.001797072,-2.721916185922457
0.001075784,72 h,TR,23,YT1,0.001075784,-2.9296724539606718
0.001337712,72 h,TR,24,CQ,0.001337712,-2.8423281023658884
0.035775792,72 h,TR,25,SY,0.035775792,-1.4451985025943146
0.046234584,72 h,TR,26,TZ,0.046234584,-1.3340947317971898
0.190395672,72 h,TR,27,SH1,0.190395672,-0.7201148869063135
0.005161536,72 h,TR,28,XN,0.005161536,-2.278887453765473
0.002277544,72 h,TR,29,CF,0.002277544,-2.623871437048642
0.003077016,72 h,TR,30,ATS,0.003077016,-2.497980597985502
0.11476228,72 h,TR,31,YT2,0.11476228,-0.9398225672852972
0.005457568,72 h,TR,32,JC,0.005457568,-2.255115214756889
0.007659016000000001,72 h,TR,33,XY,0.007659016000000001,-2.1101933525648895
0.008650816,72 h,TR,34,WH,0.008650816,-2.0579514478035352
0.016424904,72 h,TR,35,TH1,0.016424904,-1.7818610548312097
0.005378688,72 h,TR,36,YC1,0.005378688,-2.261323431037548
0.02997324,72 h,TR,37,XC,0.02997324,-1.5218197798037214
0.016456224,72 h,TR,38,LS2,0.016456224,-1.7810387063769888
0.012652816,72 h,TR,39,NJ,0.012652816,-1.8943939063495314
1.165825056,72 h,TR,40,BS,1.165825056,0.06667063549015541
0.019811408,72 h,TR,41,WL,0.019811408,-1.7008980285205608
0.006060716,72 h,TR,42,SN,0.006060716,-2.210368811085783
